,Driver_id,Order_id,Step,Point,Grid,Reposition_Point,Reposition_Grid
227,D227,Idle,2597,"(40.72610025540043, -73.98693361902893)",892a100d34bffff,"(40.72610025540043, -73.98693361902893)",892a100d34bffff
228,D228,Idle,2598,"(40.72598453974482, -73.9912073708746)",892a1072c87ffff,"(40.72598453974482, -73.9912073708746)",892a1072c87ffff
229,D229,Idle,2599,"(40.865117115677634, -73.93232385882943)",892a100aed3ffff,"(40.865117115677634, -73.93232385882943)",892a100aed3ffff
230,D230,Idle,2600,"(40.84103275837162, -73.9421281026748)",892a100aa8bffff,"(40.84103275837162, -73.9421281026748)",892a100aa8bffff
231,D231,Idle,2601,"(40.800867759366476, -73.95987317950902)",892a1008d4bffff,"(40.800867759366476, -73.95987317950902)",892a1008d4bffff
232,D232,Idle,2602,"(40.73373179237873, -73.9979304072968)",892a100d26fffff,"(40.73373179237873, -73.9979304072968)",892a100d26fffff
233,D233,Idle,2603,"(40.779728795481155, -73.95905625713573)",892a1008903ffff,"(40.779728795481155, -73.95905625713573)",892a1008903ffff
234,D234,Idle,2604,"(40.72128118681592, -73.96963344556497)",892a100d307ffff,"(40.72128118681592, -73.96963344556497)",892a100d307ffff
235,D235,Idle,2605,"(40.778806978579155, -73.99328495712778)",892a1008b0bffff,"(40.778806978579155, -73.99328495712778)",892a1008b0bffff
236,D236,Idle,2606,"(40.73114933013826, -73.99568914480813)",892a1072c9bffff,"(40.73114933013826, -73.99568914480813)",892a1072c9bffff
237,D237,Idle,2607,"(40.83022909194474, -73.95028964118485)",892a100aa77ffff,"(40.83022909194474, -73.95028964118485)",892a100aa77ffff
238,D238,Idle,2608,"(40.860054456826674, -73.92355058212017)",892a100ae83ffff,"(40.860054456826674, -73.92355058212017)",892a100ae83ffff
239,D239,Idle,2609,"(40.73184224228762, -73.97004368864602)",892a100d3d7ffff,"(40.73184224228762, -73.97004368864602)",892a100d3d7ffff
240,D240,Idle,2610,"(40.84137389953928, -73.9292755024408)",892a100a85bffff,"(40.84137389953928, -73.9292755024408)",892a100a85bffff
241,D241,Idle,2611,"(40.806038668632816, -73.9643585461897)",892a1008893ffff,"(40.806038668632816, -73.9643585461897)",892a1008893ffff
242,D242,Idle,2612,"(40.806724519366185, -73.93867232313262)",892a1008d9bffff,"(40.806724519366185, -73.93867232313262)",892a1008d9bffff
243,D243,Idle,2613,"(40.84879415612575, -73.94885926211315)",892a10085a7ffff,"(40.84879415612575, -73.94885926211315)",892a10085a7ffff
244,D244,Idle,2614,"(40.712842263747575, -73.98855243013952)",892a1072dc3ffff,"(40.712842263747575, -73.98855243013952)",892a1072dc3ffff
245,D245,Idle,2615,"(40.758365966029196, -73.9667934331769)",892a100d6abffff,"(40.758365966029196, -73.9667934331769)",892a100d6abffff
246,D246,Idle,2616,"(40.7157708830254, -73.9779740219053)",892a100d367ffff,"(40.7157708830254, -73.9779740219053)",892a100d367ffff
247,D247,Idle,2617,"(40.70767842875192, -73.98407321184507)",892a1072d13ffff,"(40.70767842875192, -73.98407321184507)",892a1072d13ffff
248,D248,Idle,2618,"(40.78759793062824, -73.96150218435267)",892a10089c3ffff,"(40.78759793062824, -73.96150218435267)",892a10089c3ffff
249,D249,Idle,2619,"(40.86534396170861, -73.92375108410893)",892a100a167ffff,"(40.86534396170861, -73.92375108410893)",892a100a167ffff
250,D250,Idle,2620,"(40.71565549593137, -73.98224682620025)",892a100d36fffff,"(40.71565549593137, -73.98224682620025)",892a100d36fffff
251,D251,Idle,2621,"(40.78983788594551, -73.97658288490179)",892a100882bffff,"(40.78983788594551, -73.97658288490179)",892a100882bffff
252,D252,Idle,2622,"(40.83000026089066, -73.95885605229294)",892a100aa6bffff,"(40.83000026089066, -73.95885605229294)",892a100aa6bffff
253,D253,Idle,2623,"(40.85206420840388, -73.92539250569737)",892a100aeabffff,"(40.85206420840388, -73.92539250569737)",892a100aeabffff
254,D254,Idle,2624,"(40.71026032383654, -73.98631269593956)",892a1072dc7ffff,"(40.71026032383654, -73.98631269593956)",892a1072dc7ffff
255,D255,Idle,2625,"(40.71226179525817, -74.0099150965138)",892a107289bffff,"(40.71226179525817, -74.0099150965138)",892a107289bffff
256,D256,Idle,2626,"(40.875697146923315, -73.93272693318589)",892a100a14bffff,"(40.875697146923315, -73.93272693318589)",892a100a14bffff
257,D257,Idle,2627,"(40.801096680764914, -73.95131208247851)",892a1008d57ffff,"(40.801096680764914, -73.95131208247851)",892a1008d57ffff
258,D258,Idle,2628,"(40.77363893634274, -73.9887989057447)",892a1008b3bffff,"(40.77363893634274, -73.9887989057447)",892a1008b3bffff
259,D259,Idle,2629,"(40.790868633038706, -73.9380666566429)",892a1008d37ffff,"(40.790868633038706, -73.9380666566429)",892a1008d37ffff
260,D260,Idle,2630,"(40.862755776436515, -73.92150775080384)",892a100ae93ffff,"(40.862755776436515, -73.92150775080384)",892a100ae93ffff
261,D261,Idle,2631,"(40.785127533859715, -73.95498131956944)",892a100898bffff,"(40.785127533859715, -73.95498131956944)",892a100898bffff
262,D262,Idle,2632,"(40.72035614496134, -74.00381964174338)",892a1072c0fffff,"(40.72035614496134, -74.00381964174338)",892a1072c0fffff
263,D263,Idle,2633,"(40.827870587472496, -73.93948051582804)",892a100aa37ffff,"(40.827870587472496, -73.93948051582804)",892a100aa37ffff
264,D264,Idle,2634,"(40.766347735254364, -73.96496216197335)",892a100d683ffff,"(40.766347735254364, -73.96496216197335)",892a100d683ffff
